Individual	Protein
Library001_barcode01	SRK_protein_002
Library001_barcode01	SRK_protein_002
Library001_barcode01	SRK_protein_002
Library001_barcode01	SRK_protein_002
Library001_barcode01	SRK_protein_001
Library001_barcode02	SRK_protein_088
Library001_barcode02	SRK_protein_084
Library001_barcode02	SRK_protein_088
Library001_barcode02	SRK_protein_084
Library001_barcode02	SRK_protein_088
Library001_barcode02	SRK_protein_088
Library001_barcode02	SRK_protein_088
Library001_barcode02	SRK_protein_088
Library001_barcode04	SRK_protein_016
Library001_barcode04	SRK_protein_016
Library001_barcode04	SRK_protein_016
Library001_barcode05	SRK_protein_089
Library001_barcode05	SRK_protein_089
Library001_barcode05	SRK_protein_089
Library001_barcode05	SRK_protein_089
Library001_barcode05	SRK_protein_089
Library001_barcode05	SRK_protein_089
Library001_barcode05	SRK_protein_089
Library001_barcode05	SRK_protein_089
Library001_barcode05	SRK_protein_089
Library001_barcode05	SRK_protein_089
Library001_barcode05	SRK_protein_089
Library001_barcode05	SRK_protein_089
Library001_barcode06	SRK_protein_090
Library001_barcode06	SRK_protein_090
Library001_barcode06	SRK_protein_090
Library001_barcode06	SRK_protein_090
Library001_barcode06	SRK_protein_090
Library001_barcode06	SRK_protein_090
Library001_barcode06	SRK_protein_090
Library001_barcode06	SRK_protein_090
Library001_barcode07	SRK_protein_028
Library001_barcode07	SRK_protein_028
Library001_barcode07	SRK_protein_028
Library001_barcode07	SRK_protein_028
Library001_barcode08	SRK_protein_025
Library001_barcode08	SRK_protein_025
Library001_barcode08	SRK_protein_025
Library001_barcode08	SRK_protein_025
Library001_barcode09	SRK_protein_068
Library001_barcode09	SRK_protein_068
Library001_barcode09	SRK_protein_068
Library001_barcode09	SRK_protein_068
Library001_barcode09	SRK_protein_068
Library001_barcode09	SRK_protein_068
Library001_barcode09	SRK_protein_043
Library001_barcode09	SRK_protein_068
Library001_barcode09	SRK_protein_068
Library001_barcode09	SRK_protein_068
Library001_barcode09	SRK_protein_068
Library001_barcode09	SRK_protein_068
Library001_barcode09	SRK_protein_068
Library001_barcode10	SRK_protein_059
Library001_barcode10	SRK_protein_059
Library001_barcode10	SRK_protein_059
Library001_barcode10	SRK_protein_059
Library001_barcode11	SRK_protein_091
Library001_barcode11	SRK_protein_091
Library001_barcode11	SRK_protein_015
Library001_barcode11	SRK_protein_091
Library001_barcode11	SRK_protein_091
Library001_barcode11	SRK_protein_015
Library001_barcode11	SRK_protein_091
Library001_barcode11	SRK_protein_091
Library001_barcode11	SRK_protein_091
Library001_barcode11	SRK_protein_091
Library001_barcode14	SRK_protein_004
Library001_barcode14	SRK_protein_004
Library001_barcode14	SRK_protein_004
Library001_barcode14	SRK_protein_004
Library001_barcode17	SRK_protein_092
Library001_barcode17	SRK_protein_092
Library001_barcode17	SRK_protein_092
Library001_barcode17	SRK_protein_092
Library001_barcode17	SRK_protein_092
Library001_barcode17	SRK_protein_092
Library001_barcode17	SRK_protein_092
Library001_barcode17	SRK_protein_092
Library001_barcode18	SRK_protein_093
Library001_barcode18	SRK_protein_093
Library001_barcode18	SRK_protein_093
Library001_barcode18	SRK_protein_040
Library001_barcode18	SRK_protein_040
Library001_barcode18	SRK_protein_093
Library001_barcode18	SRK_protein_040
Library001_barcode18	SRK_protein_040
Library001_barcode18	SRK_protein_093
Library001_barcode18	SRK_protein_040
Library001_barcode18	SRK_protein_040
Library001_barcode18	SRK_protein_093
Library001_barcode18	SRK_protein_040
Library001_barcode18	SRK_protein_040
Library001_barcode19	SRK_protein_094
Library001_barcode19	SRK_protein_094
Library001_barcode19	SRK_protein_094
Library001_barcode19	SRK_protein_094
Library001_barcode19	SRK_protein_094
Library001_barcode19	SRK_protein_094
Library001_barcode19	SRK_protein_094
Library001_barcode19	SRK_protein_094
Library001_barcode20	SRK_protein_005
Library001_barcode20	SRK_protein_005
Library001_barcode21	SRK_protein_004
Library002_barcode23	SRK_protein_015
Library002_barcode23	SRK_protein_016
Library002_barcode23	SRK_protein_016
Library002_barcode23	SRK_protein_015
Library002_barcode23	SRK_protein_016
Library002_barcode23	SRK_protein_016
Library002_barcode23	SRK_protein_015
Library002_barcode23	SRK_protein_016
Library002_barcode23	SRK_protein_016
Library002_barcode23	SRK_protein_015
Library002_barcode23	SRK_protein_016
Library002_barcode23	SRK_protein_016
Library002_barcode23	SRK_protein_015
Library002_barcode23	SRK_protein_016
Library002_barcode23	SRK_protein_015
Library002_barcode23	SRK_protein_016
Library002_barcode23	SRK_protein_016
Library002_barcode24	SRK_protein_017
Library002_barcode24	SRK_protein_017
Library002_barcode24	SRK_protein_017
Library002_barcode24	SRK_protein_017
Library002_barcode24	SRK_protein_017
Library002_barcode24	SRK_protein_017
Library002_barcode24	SRK_protein_017
Library002_barcode24	SRK_protein_017
Library002_barcode29	SRK_protein_018
Library002_barcode29	SRK_protein_018
Library002_barcode29	SRK_protein_019
Library002_barcode29	SRK_protein_019
Library002_barcode29	SRK_protein_019
Library002_barcode29	SRK_protein_019
Library002_barcode31	SRK_protein_020
Library002_barcode31	SRK_protein_020
Library002_barcode31	SRK_protein_020
Library002_barcode31	SRK_protein_020
Library002_barcode31	SRK_protein_020
Library002_barcode31	SRK_protein_020
Library002_barcode31	SRK_protein_020
Library002_barcode31	SRK_protein_021
Library002_barcode31	SRK_protein_020
Library002_barcode31	SRK_protein_020
Library002_barcode31	SRK_protein_021
Library002_barcode31	SRK_protein_020
Library002_barcode31	SRK_protein_020
Library002_barcode31	SRK_protein_021
Library002_barcode31	SRK_protein_020
Library002_barcode32	SRK_protein_022
Library002_barcode32	SRK_protein_022
Library002_barcode35	SRK_protein_023
Library002_barcode35	SRK_protein_023
Library002_barcode35	SRK_protein_023
Library002_barcode35	SRK_protein_023
Library002_barcode35	SRK_protein_009
Library002_barcode35	SRK_protein_023
Library002_barcode35	SRK_protein_023
Library002_barcode35	SRK_protein_023
Library002_barcode35	SRK_protein_023
Library002_barcode37	SRK_protein_024
Library002_barcode37	SRK_protein_024
Library002_barcode37	SRK_protein_024
Library002_barcode37	SRK_protein_024
Library002_barcode37	SRK_protein_024
Library002_barcode37	SRK_protein_024
Library002_barcode37	SRK_protein_024
Library002_barcode37	SRK_protein_024
Library002_barcode39	SRK_protein_025
Library002_barcode39	SRK_protein_025
Library002_barcode39	SRK_protein_025
Library002_barcode39	SRK_protein_025
Library002_barcode39	SRK_protein_025
Library002_barcode39	SRK_protein_025
Library002_barcode39	SRK_protein_025
Library002_barcode39	SRK_protein_025
Library002_barcode39	SRK_protein_025
Library002_barcode39	SRK_protein_025
Library002_barcode39	SRK_protein_025
Library002_barcode39	SRK_protein_025
Library002_barcode39	SRK_protein_025
Library002_barcode39	SRK_protein_025
Library002_barcode39	SRK_protein_025
Library002_barcode39	SRK_protein_025
Library002_barcode39	SRK_protein_025
Library002_barcode39	SRK_protein_025
Library002_barcode39	SRK_protein_025
Library002_barcode40	SRK_protein_026
Library002_barcode40	SRK_protein_027
Library002_barcode40	SRK_protein_027
Library002_barcode40	SRK_protein_026
Library002_barcode40	SRK_protein_027
Library002_barcode40	SRK_protein_026
Library002_barcode40	SRK_protein_026
Library002_barcode40	SRK_protein_027
Library002_barcode40	SRK_protein_026
Library002_barcode40	SRK_protein_027
Library002_barcode40	SRK_protein_026
Library002_barcode40	SRK_protein_027
Library002_barcode40	SRK_protein_026
Library002_barcode41	SRK_protein_028
Library002_barcode41	SRK_protein_028
Library002_barcode41	SRK_protein_028
Library002_barcode41	SRK_protein_028
Library002_barcode41	SRK_protein_028
Library002_barcode41	SRK_protein_028
Library002_barcode41	SRK_protein_028
Library002_barcode41	SRK_protein_002
Library002_barcode41	SRK_protein_002
Library002_barcode41	SRK_protein_002
Library002_barcode42	SRK_protein_011
Library002_barcode42	SRK_protein_029
Library002_barcode42	SRK_protein_011
Library002_barcode42	SRK_protein_029
Library002_barcode42	SRK_protein_011
Library002_barcode42	SRK_protein_029
Library002_barcode42	SRK_protein_011
Library002_barcode42	SRK_protein_029
Library002_barcode42	SRK_protein_029
Library002_barcode42	SRK_protein_029
Library002_barcode42	SRK_protein_029
Library002_barcode42	SRK_protein_029
Library002_barcode43	SRK_protein_030
Library002_barcode43	SRK_protein_031
Library002_barcode43	SRK_protein_030
Library002_barcode43	SRK_protein_031
Library002_barcode43	SRK_protein_030
Library002_barcode43	SRK_protein_031
Library002_barcode43	SRK_protein_031
Library002_barcode43	SRK_protein_030
Library002_barcode43	SRK_protein_031
Library002_barcode43	SRK_protein_030
Library002_barcode43	SRK_protein_031
Library002_barcode43	SRK_protein_030
Library002_barcode43	SRK_protein_030
Library002_barcode43	SRK_protein_031
Library002_barcode44	SRK_protein_032
Library002_barcode44	SRK_protein_032
Library002_barcode44	SRK_protein_032
Library002_barcode44	SRK_protein_032
Library002_barcode46	SRK_protein_033
Library002_barcode46	SRK_protein_033
Library002_barcode46	SRK_protein_033
Library002_barcode46	SRK_protein_033
Library002_barcode46	SRK_protein_033
Library002_barcode46	SRK_protein_033
Library002_barcode46	SRK_protein_033
Library002_barcode46	SRK_protein_033
Library002_barcode47	SRK_protein_034
Library002_barcode47	SRK_protein_034
Library002_barcode47	SRK_protein_034
Library002_barcode47	SRK_protein_034
Library002_barcode47	SRK_protein_034
Library002_barcode47	SRK_protein_034
Library002_barcode47	SRK_protein_034
Library002_barcode47	SRK_protein_034
Library002_barcode48	SRK_protein_003
Library002_barcode48	SRK_protein_003
Library002_barcode48	SRK_protein_003
Library002_barcode48	SRK_protein_003
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode50	SRK_protein_035
Library002_barcode51	SRK_protein_021
Library002_barcode51	SRK_protein_021
Library002_barcode51	SRK_protein_021
Library002_barcode51	SRK_protein_021
Library002_barcode52	SRK_protein_036
Library002_barcode52	SRK_protein_036
Library002_barcode52	SRK_protein_036
Library002_barcode52	SRK_protein_036
Library002_barcode53	SRK_protein_036
Library002_barcode53	SRK_protein_037
Library002_barcode53	SRK_protein_036
Library002_barcode53	SRK_protein_037
Library002_barcode53	SRK_protein_036
Library002_barcode53	SRK_protein_037
Library002_barcode53	SRK_protein_036
Library002_barcode53	SRK_protein_037
Library002_barcode53	SRK_protein_037
Library002_barcode53	SRK_protein_037
Library002_barcode53	SRK_protein_037
Library002_barcode53	SRK_protein_037
Library002_barcode54	SRK_protein_018
Library002_barcode54	SRK_protein_018
Library002_barcode54	SRK_protein_018
Library002_barcode54	SRK_protein_018
Library002_barcode54	SRK_protein_019
Library002_barcode54	SRK_protein_019
Library002_barcode54	SRK_protein_019
Library002_barcode54	SRK_protein_019
Library002_barcode56	SRK_protein_038
Library002_barcode56	SRK_protein_038
Library002_barcode56	SRK_protein_038
Library002_barcode56	SRK_protein_038
Library002_barcode56	SRK_protein_038
Library002_barcode56	SRK_protein_038
Library002_barcode56	SRK_protein_038
Library002_barcode56	SRK_protein_038
Library002_barcode57	SRK_protein_039
Library002_barcode57	SRK_protein_039
Library002_barcode57	SRK_protein_039
Library002_barcode57	SRK_protein_039
Library002_barcode57	SRK_protein_039
Library002_barcode57	SRK_protein_039
Library002_barcode58	SRK_protein_033
Library002_barcode58	SRK_protein_033
Library002_barcode58	SRK_protein_033
Library002_barcode58	SRK_protein_033
Library003_barcode60	SRK_protein_034
Library003_barcode60	SRK_protein_034
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_063
Library003_barcode61	SRK_protein_064
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_063
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_063
Library003_barcode61	SRK_protein_064
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_063
Library003_barcode61	SRK_protein_063
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_063
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_064
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_064
Library003_barcode61	SRK_protein_063
Library003_barcode61	SRK_protein_003
Library003_barcode61	SRK_protein_064
Library003_barcode62	SRK_protein_059
Library003_barcode62	SRK_protein_059
Library003_barcode62	SRK_protein_059
Library003_barcode62	SRK_protein_059
Library003_barcode62	SRK_protein_059
Library003_barcode62	SRK_protein_059
Library003_barcode62	SRK_protein_006
Library003_barcode62	SRK_protein_059
Library003_barcode62	SRK_protein_006
Library003_barcode63	SRK_protein_065
Library003_barcode64	SRK_protein_066
Library003_barcode64	SRK_protein_066
Library003_barcode64	SRK_protein_066
Library003_barcode64	SRK_protein_066
Library003_barcode64	SRK_protein_066
Library003_barcode64	SRK_protein_066
Library003_barcode64	SRK_protein_066
Library003_barcode64	SRK_protein_002
Library003_barcode64	SRK_protein_002
Library003_barcode64	SRK_protein_002
Library003_barcode64	SRK_protein_002
Library003_barcode65	SRK_protein_004
Library003_barcode65	SRK_protein_004
Library003_barcode65	SRK_protein_004
Library003_barcode65	SRK_protein_004
Library003_barcode65	SRK_protein_067
Library003_barcode65	SRK_protein_067
Library003_barcode65	SRK_protein_067
Library003_barcode65	SRK_protein_067
Library003_barcode65	SRK_protein_067
Library003_barcode65	SRK_protein_067
Library003_barcode65	SRK_protein_067
Library003_barcode66	SRK_protein_068
Library003_barcode66	SRK_protein_068
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode67	SRK_protein_069
Library003_barcode69	SRK_protein_059
Library003_barcode69	SRK_protein_059
Library003_barcode69	SRK_protein_059
Library003_barcode69	SRK_protein_059
Library003_barcode69	SRK_protein_059
Library003_barcode69	SRK_protein_059
Library003_barcode69	SRK_protein_059
Library003_barcode69	SRK_protein_059
Library003_barcode70	SRK_protein_069
Library003_barcode71	SRK_protein_069
Library003_barcode71	SRK_protein_069
Library003_barcode71	SRK_protein_070
Library003_barcode71	SRK_protein_070
Library003_barcode71	SRK_protein_070
Library003_barcode71	SRK_protein_070
Library003_barcode71	SRK_protein_070
Library003_barcode71	SRK_protein_070
Library003_barcode71	SRK_protein_070
Library003_barcode71	SRK_protein_070
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode72	SRK_protein_057
Library003_barcode73	SRK_protein_059
Library003_barcode73	SRK_protein_007
Library003_barcode73	SRK_protein_059
Library003_barcode73	SRK_protein_007
Library003_barcode73	SRK_protein_059
Library003_barcode73	SRK_protein_007
Library003_barcode74	SRK_protein_046
Library003_barcode74	SRK_protein_046
Library003_barcode74	SRK_protein_004
Library003_barcode74	SRK_protein_004
Library003_barcode74	SRK_protein_071
Library003_barcode74	SRK_protein_071
Library003_barcode74	SRK_protein_071
Library003_barcode74	SRK_protein_071
Library003_barcode74	SRK_protein_003
Library003_barcode74	SRK_protein_071
Library003_barcode74	SRK_protein_003
Library003_barcode74	SRK_protein_071
Library003_barcode76	SRK_protein_051
Library003_barcode76	SRK_protein_049
Library003_barcode76	SRK_protein_051
Library003_barcode76	SRK_protein_049
Library003_barcode76	SRK_protein_051
Library003_barcode76	SRK_protein_049
Library003_barcode76	SRK_protein_051
Library003_barcode76	SRK_protein_049
Library003_barcode77	SRK_protein_003
Library003_barcode77	SRK_protein_003
Library003_barcode77	SRK_protein_003
Library003_barcode77	SRK_protein_003
Library003_barcode77	SRK_protein_004
Library003_barcode77	SRK_protein_004
Library003_barcode77	SRK_protein_004
Library003_barcode77	SRK_protein_004
Library003_barcode78	SRK_protein_003
Library003_barcode78	SRK_protein_003
Library003_barcode78	SRK_protein_014
Library003_barcode78	SRK_protein_014
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode79	SRK_protein_003
Library004_barcode80	SRK_protein_004
Library004_barcode80	SRK_protein_004
Library004_barcode80	SRK_protein_004
Library004_barcode80	SRK_protein_004
Library004_barcode80	SRK_protein_004
Library004_barcode80	SRK_protein_004
Library004_barcode80	SRK_protein_004
Library004_barcode81	SRK_protein_005
Library004_barcode81	SRK_protein_006
Library004_barcode81	SRK_protein_006
Library004_barcode81	SRK_protein_005
Library004_barcode81	SRK_protein_006
Library004_barcode81	SRK_protein_006
Library004_barcode81	SRK_protein_005
Library004_barcode81	SRK_protein_006
Library004_barcode81	SRK_protein_006
Library004_barcode81	SRK_protein_005
Library004_barcode81	SRK_protein_005
Library004_barcode83	SRK_protein_007
Library004_barcode83	SRK_protein_007
Library004_barcode83	SRK_protein_008
Library004_barcode83	SRK_protein_008
Library004_barcode83	SRK_protein_008
Library004_barcode83	SRK_protein_008
Library004_barcode84	SRK_protein_009
Library004_barcode84	SRK_protein_009
Library004_barcode84	SRK_protein_009
Library004_barcode84	SRK_protein_009
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_011
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_011
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode85	SRK_protein_010
Library004_barcode87	SRK_protein_012
Library004_barcode87	SRK_protein_012
Library004_barcode87	SRK_protein_012
Library004_barcode87	SRK_protein_012
Library004_barcode87	SRK_protein_013
Library004_barcode87	SRK_protein_013
Library004_barcode87	SRK_protein_013
Library004_barcode87	SRK_protein_013
Library004_barcode88	SRK_protein_014
Library004_barcode88	SRK_protein_014
Library004_barcode88	SRK_protein_014
Library004_barcode88	SRK_protein_014
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library004_barcode89	SRK_protein_010
Library005_barcode01	SRK_protein_040
