EO	scenario	allele	n_reps_present_initially	P_lost_by_y10	P_lost_by_y20	P_lost_by_y50	median_loss_year
EO18	baseline	Allele_005	500	0.000	0.000	0.000	NA
EO18	baseline	Allele_006	500	0.000	0.000	0.000	NA
EO18	baseline	Allele_013	500	0.000	0.000	0.000	NA
EO18	baseline	Allele_020	500	0.000	0.000	0.000	NA
EO18	baseline	Allele_023	500	0.000	0.000	0.000	NA
EO18	baseline	Allele_031	500	0.000	0.000	0.000	NA
EO18	baseline	Allele_034	500	0.000	0.000	0.000	NA
EO18	baseline	Allele_037	500	0.000	0.000	0.000	NA
EO18	baseline	Allele_038	500	0.000	0.000	0.000	NA
EO18	baseline	Allele_044	500	0.000	0.000	0.000	NA
EO18	baseline	Allele_045	500	0.000	0.000	0.000	NA
EO18	baseline	Allele_046	500	0.000	0.000	0.000	NA
EO18	baseline	Allele_048	500	0.000	0.000	0.000	NA
EO18	baseline	Allele_049	500	0.000	0.000	0.000	NA
EO18	baseline	Allele_050	500	0.000	0.000	0.000	NA
EO18	baseline	Allele_051	500	0.000	0.000	0.000	NA
EO18	area_capped	Allele_005	500	0.000	0.000	0.000	NA
EO18	area_capped	Allele_006	500	0.000	0.000	0.000	NA
EO18	area_capped	Allele_013	500	0.000	0.000	0.000	NA
EO18	area_capped	Allele_020	500	0.000	0.000	0.000	NA
EO18	area_capped	Allele_023	500	0.000	0.000	0.000	NA
EO18	area_capped	Allele_031	500	0.000	0.000	0.000	NA
EO18	area_capped	Allele_034	500	0.000	0.000	0.000	NA
EO18	area_capped	Allele_037	500	0.000	0.000	0.000	NA
EO18	area_capped	Allele_038	500	0.000	0.000	0.000	NA
EO18	area_capped	Allele_044	500	0.002	0.002	0.002	1.0
EO18	area_capped	Allele_045	500	0.000	0.000	0.000	NA
EO18	area_capped	Allele_046	500	0.000	0.000	0.000	NA
EO18	area_capped	Allele_048	500	0.000	0.000	0.000	NA
EO18	area_capped	Allele_049	500	0.000	0.000	0.000	NA
EO18	area_capped	Allele_050	500	0.000	0.000	0.000	NA
EO18	area_capped	Allele_051	500	0.000	0.000	0.000	NA
EO18	catastrophe	Allele_005	500	0.000	0.000	0.000	NA
EO18	catastrophe	Allele_006	500	0.000	0.000	0.000	NA
EO18	catastrophe	Allele_013	500	0.000	0.000	0.000	NA
EO18	catastrophe	Allele_020	500	0.000	0.000	0.000	NA
EO18	catastrophe	Allele_023	500	0.000	0.000	0.000	NA
EO18	catastrophe	Allele_031	500	0.000	0.000	0.000	NA
EO18	catastrophe	Allele_034	500	0.000	0.000	0.000	NA
EO18	catastrophe	Allele_037	500	0.000	0.000	0.000	NA
EO18	catastrophe	Allele_038	500	0.000	0.000	0.000	NA
EO18	catastrophe	Allele_044	500	0.002	0.002	0.002	1.0
EO18	catastrophe	Allele_045	500	0.000	0.000	0.000	NA
EO18	catastrophe	Allele_046	500	0.000	0.000	0.000	NA
EO18	catastrophe	Allele_048	500	0.000	0.000	0.000	NA
EO18	catastrophe	Allele_049	500	0.000	0.000	0.000	NA
EO18	catastrophe	Allele_050	500	0.000	0.000	0.000	NA
EO18	catastrophe	Allele_051	500	0.000	0.000	0.000	NA
EO18	K_decline_1pct	Allele_005	500	0.000	0.000	0.000	NA
EO18	K_decline_1pct	Allele_006	500	0.000	0.000	0.000	NA
EO18	K_decline_1pct	Allele_013	500	0.000	0.000	0.000	NA
EO18	K_decline_1pct	Allele_020	500	0.000	0.000	0.000	NA
EO18	K_decline_1pct	Allele_023	500	0.000	0.000	0.000	NA
EO18	K_decline_1pct	Allele_031	500	0.000	0.000	0.000	NA
EO18	K_decline_1pct	Allele_034	500	0.000	0.000	0.000	NA
EO18	K_decline_1pct	Allele_037	500	0.000	0.000	0.000	NA
EO18	K_decline_1pct	Allele_038	500	0.000	0.000	0.000	NA
EO18	K_decline_1pct	Allele_044	500	0.000	0.000	0.000	NA
EO18	K_decline_1pct	Allele_045	500	0.000	0.000	0.000	NA
EO18	K_decline_1pct	Allele_046	500	0.000	0.000	0.000	NA
EO18	K_decline_1pct	Allele_048	500	0.000	0.000	0.000	NA
EO18	K_decline_1pct	Allele_049	500	0.000	0.000	0.000	NA
EO18	K_decline_1pct	Allele_050	500	0.000	0.000	0.000	NA
EO18	K_decline_1pct	Allele_051	500	0.000	0.000	0.000	NA
EO18	si_proper	Allele_005	500	0.000	0.000	0.000	NA
EO18	si_proper	Allele_006	500	0.000	0.000	0.000	NA
EO18	si_proper	Allele_013	500	0.000	0.000	0.000	NA
EO18	si_proper	Allele_020	500	0.000	0.000	0.000	NA
EO18	si_proper	Allele_023	500	0.000	0.000	0.000	NA
EO18	si_proper	Allele_031	500	0.000	0.000	0.000	NA
EO18	si_proper	Allele_034	500	0.000	0.000	0.000	NA
EO18	si_proper	Allele_037	500	0.000	0.000	0.000	NA
EO18	si_proper	Allele_038	500	0.000	0.000	0.000	NA
EO18	si_proper	Allele_044	500	0.000	0.000	0.000	NA
EO18	si_proper	Allele_045	500	0.000	0.000	0.000	NA
EO18	si_proper	Allele_046	500	0.000	0.000	0.000	NA
EO18	si_proper	Allele_048	500	0.000	0.000	0.000	NA
EO18	si_proper	Allele_049	500	0.000	0.000	0.000	NA
EO18	si_proper	Allele_050	500	0.000	0.000	0.000	NA
EO18	si_proper	Allele_051	500	0.000	0.000	0.000	NA
EO18	sc_inbreeding	Allele_005	500	0.000	0.000	0.000	NA
EO18	sc_inbreeding	Allele_006	500	0.000	0.000	0.000	NA
EO18	sc_inbreeding	Allele_013	500	0.000	0.000	0.000	NA
EO18	sc_inbreeding	Allele_020	500	0.000	0.000	0.000	NA
EO18	sc_inbreeding	Allele_023	500	0.000	0.000	0.000	NA
EO18	sc_inbreeding	Allele_031	500	0.000	0.000	0.000	NA
EO18	sc_inbreeding	Allele_034	500	0.000	0.000	0.000	NA
EO18	sc_inbreeding	Allele_037	500	0.000	0.000	0.000	NA
EO18	sc_inbreeding	Allele_038	500	0.000	0.000	0.000	NA
EO18	sc_inbreeding	Allele_044	500	0.000	0.000	0.000	NA
EO18	sc_inbreeding	Allele_045	500	0.000	0.000	0.000	NA
EO18	sc_inbreeding	Allele_046	500	0.000	0.000	0.000	NA
EO18	sc_inbreeding	Allele_048	500	0.000	0.000	0.000	NA
EO18	sc_inbreeding	Allele_049	500	0.000	0.000	0.000	NA
EO18	sc_inbreeding	Allele_050	500	0.000	0.000	0.000	NA
EO18	sc_inbreeding	Allele_051	500	0.000	0.000	0.000	NA
EO18	worst_case	Allele_005	500	0.000	0.000	0.000	NA
EO18	worst_case	Allele_006	500	0.000	0.000	0.000	NA
EO18	worst_case	Allele_013	500	0.000	0.000	0.000	NA
EO18	worst_case	Allele_020	500	0.000	0.000	0.000	NA
EO18	worst_case	Allele_023	500	0.000	0.000	0.000	NA
EO18	worst_case	Allele_031	500	0.000	0.000	0.000	NA
EO18	worst_case	Allele_034	500	0.000	0.000	0.000	NA
EO18	worst_case	Allele_037	500	0.000	0.000	0.000	NA
EO18	worst_case	Allele_038	500	0.000	0.000	0.000	NA
EO18	worst_case	Allele_044	500	0.000	0.000	0.000	NA
EO18	worst_case	Allele_045	500	0.000	0.000	0.000	NA
EO18	worst_case	Allele_046	500	0.000	0.000	0.000	NA
EO18	worst_case	Allele_048	500	0.000	0.000	0.000	NA
EO18	worst_case	Allele_049	500	0.000	0.000	0.000	NA
EO18	worst_case	Allele_050	500	0.000	0.000	0.000	NA
EO18	worst_case	Allele_051	500	0.000	0.000	0.000	NA
EO25	baseline	Allele_013	500	0.000	0.000	0.000	NA
EO25	baseline	Allele_014	500	0.000	0.000	0.000	NA
EO25	baseline	Allele_020	500	0.000	0.000	0.000	NA
EO25	baseline	Allele_032	500	0.000	0.000	0.000	NA
EO25	baseline	Allele_037	500	0.000	0.000	0.000	NA
EO25	baseline	Allele_039	500	0.000	0.000	0.000	NA
EO25	baseline	Allele_041	500	0.000	0.000	0.000	NA
EO25	baseline	Allele_043	500	0.000	0.000	0.000	NA
EO25	baseline	Allele_044	500	0.000	0.000	0.000	NA
EO25	baseline	Allele_045	500	0.000	0.000	0.000	NA
EO25	baseline	Allele_047	500	0.000	0.000	0.000	NA
EO25	baseline	Allele_049	500	0.000	0.000	0.000	NA
EO25	baseline	Allele_050	500	0.000	0.000	0.000	NA
EO25	baseline	Allele_051	500	0.000	0.000	0.000	NA
EO25	area_capped	Allele_013	500	0.000	0.000	0.000	NA
EO25	area_capped	Allele_014	500	0.000	0.000	0.000	NA
EO25	area_capped	Allele_020	500	0.000	0.000	0.000	NA
EO25	area_capped	Allele_032	500	0.000	0.000	0.000	NA
EO25	area_capped	Allele_037	500	0.000	0.000	0.000	NA
EO25	area_capped	Allele_039	500	0.000	0.000	0.000	NA
EO25	area_capped	Allele_041	500	0.000	0.000	0.000	NA
EO25	area_capped	Allele_043	500	0.000	0.000	0.000	NA
EO25	area_capped	Allele_044	500	0.000	0.000	0.000	NA
EO25	area_capped	Allele_045	500	0.000	0.000	0.000	NA
EO25	area_capped	Allele_047	500	0.000	0.000	0.000	NA
EO25	area_capped	Allele_049	500	0.000	0.000	0.000	NA
EO25	area_capped	Allele_050	500	0.000	0.000	0.000	NA
EO25	area_capped	Allele_051	500	0.000	0.000	0.000	NA
EO25	catastrophe	Allele_013	500	0.000	0.000	0.000	NA
EO25	catastrophe	Allele_014	500	0.000	0.000	0.000	NA
EO25	catastrophe	Allele_020	500	0.000	0.000	0.000	NA
EO25	catastrophe	Allele_032	500	0.000	0.000	0.000	NA
EO25	catastrophe	Allele_037	500	0.002	0.002	0.002	1.0
EO25	catastrophe	Allele_039	500	0.000	0.000	0.000	NA
EO25	catastrophe	Allele_041	500	0.000	0.000	0.000	NA
EO25	catastrophe	Allele_043	500	0.000	0.000	0.000	NA
EO25	catastrophe	Allele_044	500	0.000	0.000	0.000	NA
EO25	catastrophe	Allele_045	500	0.000	0.000	0.000	NA
EO25	catastrophe	Allele_047	500	0.000	0.000	0.000	NA
EO25	catastrophe	Allele_049	500	0.000	0.000	0.000	NA
EO25	catastrophe	Allele_050	500	0.000	0.000	0.000	NA
EO25	catastrophe	Allele_051	500	0.000	0.000	0.000	NA
EO25	K_decline_1pct	Allele_013	500	0.000	0.000	0.000	NA
EO25	K_decline_1pct	Allele_014	500	0.000	0.000	0.000	NA
EO25	K_decline_1pct	Allele_020	500	0.000	0.000	0.000	NA
EO25	K_decline_1pct	Allele_032	500	0.000	0.000	0.000	NA
EO25	K_decline_1pct	Allele_037	500	0.000	0.000	0.000	NA
EO25	K_decline_1pct	Allele_039	500	0.000	0.000	0.000	NA
EO25	K_decline_1pct	Allele_041	500	0.000	0.000	0.000	NA
EO25	K_decline_1pct	Allele_043	500	0.000	0.000	0.000	NA
EO25	K_decline_1pct	Allele_044	500	0.000	0.000	0.000	NA
EO25	K_decline_1pct	Allele_045	500	0.000	0.000	0.000	NA
EO25	K_decline_1pct	Allele_047	500	0.000	0.000	0.000	NA
EO25	K_decline_1pct	Allele_049	500	0.000	0.000	0.000	NA
EO25	K_decline_1pct	Allele_050	500	0.000	0.000	0.000	NA
EO25	K_decline_1pct	Allele_051	500	0.000	0.000	0.000	NA
EO25	si_proper	Allele_013	500	0.000	0.000	0.000	NA
EO25	si_proper	Allele_014	500	0.000	0.000	0.000	NA
EO25	si_proper	Allele_020	500	0.000	0.000	0.000	NA
EO25	si_proper	Allele_032	500	0.000	0.000	0.000	NA
EO25	si_proper	Allele_037	500	0.000	0.000	0.000	NA
EO25	si_proper	Allele_039	500	0.000	0.000	0.000	NA
EO25	si_proper	Allele_041	500	0.000	0.000	0.000	NA
EO25	si_proper	Allele_043	500	0.000	0.000	0.000	NA
EO25	si_proper	Allele_044	500	0.000	0.000	0.000	NA
EO25	si_proper	Allele_045	500	0.000	0.000	0.000	NA
EO25	si_proper	Allele_047	500	0.000	0.000	0.000	NA
EO25	si_proper	Allele_049	500	0.000	0.000	0.000	NA
EO25	si_proper	Allele_050	500	0.000	0.000	0.000	NA
EO25	si_proper	Allele_051	500	0.000	0.000	0.000	NA
EO25	sc_inbreeding	Allele_013	500	0.000	0.000	0.000	NA
EO25	sc_inbreeding	Allele_014	500	0.000	0.000	0.000	NA
EO25	sc_inbreeding	Allele_020	500	0.000	0.000	0.000	NA
EO25	sc_inbreeding	Allele_032	500	0.000	0.000	0.000	NA
EO25	sc_inbreeding	Allele_037	500	0.000	0.000	0.000	NA
EO25	sc_inbreeding	Allele_039	500	0.000	0.000	0.000	NA
EO25	sc_inbreeding	Allele_041	500	0.000	0.000	0.000	NA
EO25	sc_inbreeding	Allele_043	500	0.000	0.000	0.000	NA
EO25	sc_inbreeding	Allele_044	500	0.000	0.000	0.000	NA
EO25	sc_inbreeding	Allele_045	500	0.000	0.000	0.000	NA
EO25	sc_inbreeding	Allele_047	500	0.000	0.000	0.000	NA
EO25	sc_inbreeding	Allele_049	500	0.000	0.000	0.000	NA
EO25	sc_inbreeding	Allele_050	500	0.000	0.000	0.000	NA
EO25	sc_inbreeding	Allele_051	500	0.000	0.000	0.000	NA
EO25	worst_case	Allele_013	500	0.000	0.000	0.000	NA
EO25	worst_case	Allele_014	500	0.004	0.004	0.004	1.0
EO25	worst_case	Allele_020	500	0.000	0.000	0.000	NA
EO25	worst_case	Allele_032	500	0.000	0.000	0.000	NA
EO25	worst_case	Allele_037	500	0.000	0.000	0.000	NA
EO25	worst_case	Allele_039	500	0.000	0.000	0.000	NA
EO25	worst_case	Allele_041	500	0.000	0.000	0.000	NA
EO25	worst_case	Allele_043	500	0.000	0.000	0.000	NA
EO25	worst_case	Allele_044	500	0.000	0.000	0.000	NA
EO25	worst_case	Allele_045	500	0.000	0.000	0.000	NA
EO25	worst_case	Allele_047	500	0.000	0.000	0.000	NA
EO25	worst_case	Allele_049	500	0.000	0.000	0.000	NA
EO25	worst_case	Allele_050	500	0.000	0.000	0.000	NA
EO25	worst_case	Allele_051	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_012	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_015	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_017	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_020	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_023	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_033	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_034	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_035	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_037	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_038	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_042	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_043	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_044	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_045	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_046	500	0.002	0.002	0.002	1.0
EO27	baseline	Allele_048	500	0.002	0.002	0.002	1.0
EO27	baseline	Allele_049	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_050	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_051	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_056	500	0.000	0.000	0.000	NA
EO27	baseline	Allele_057	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_012	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_015	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_017	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_020	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_023	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_033	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_034	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_035	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_037	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_038	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_042	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_043	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_044	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_045	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_046	500	0.004	0.004	0.004	1.0
EO27	area_capped	Allele_048	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_049	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_050	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_051	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_056	500	0.000	0.000	0.000	NA
EO27	area_capped	Allele_057	500	0.000	0.000	0.000	NA
EO27	catastrophe	Allele_012	500	0.000	0.000	0.000	NA
EO27	catastrophe	Allele_015	500	0.000	0.000	0.000	NA
EO27	catastrophe	Allele_017	500	0.000	0.000	0.000	NA
EO27	catastrophe	Allele_020	500	0.000	0.000	0.000	NA
EO27	catastrophe	Allele_023	500	0.000	0.000	0.000	NA
EO27	catastrophe	Allele_033	500	0.000	0.000	0.000	NA
EO27	catastrophe	Allele_034	500	0.000	0.000	0.000	NA
EO27	catastrophe	Allele_035	500	0.000	0.000	0.000	NA
EO27	catastrophe	Allele_037	500	0.000	0.000	0.000	NA
EO27	catastrophe	Allele_038	500	0.000	0.000	0.000	NA
EO27	catastrophe	Allele_042	500	0.000	0.000	0.000	NA
EO27	catastrophe	Allele_043	500	0.000	0.000	0.000	NA
EO27	catastrophe	Allele_044	500	0.000	0.000	0.000	NA
EO27	catastrophe	Allele_045	500	0.000	0.000	0.000	NA
EO27	catastrophe	Allele_046	500	0.002	0.002	0.002	1.0
EO27	catastrophe	Allele_048	500	0.002	0.002	0.002	1.0
EO27	catastrophe	Allele_049	500	0.000	0.000	0.000	NA
EO27	catastrophe	Allele_050	500	0.000	0.000	0.000	NA
EO27	catastrophe	Allele_051	500	0.000	0.000	0.000	NA
EO27	catastrophe	Allele_056	500	0.008	0.008	0.008	1.0
EO27	catastrophe	Allele_057	500	0.000	0.000	0.000	NA
EO27	K_decline_1pct	Allele_012	500	0.000	0.000	0.000	NA
EO27	K_decline_1pct	Allele_015	500	0.000	0.000	0.000	NA
EO27	K_decline_1pct	Allele_017	500	0.000	0.000	0.000	NA
EO27	K_decline_1pct	Allele_020	500	0.000	0.000	0.000	NA
EO27	K_decline_1pct	Allele_023	500	0.000	0.000	0.000	NA
EO27	K_decline_1pct	Allele_033	500	0.000	0.000	0.000	NA
EO27	K_decline_1pct	Allele_034	500	0.000	0.000	0.000	NA
EO27	K_decline_1pct	Allele_035	500	0.000	0.000	0.000	NA
EO27	K_decline_1pct	Allele_037	500	0.000	0.000	0.000	NA
EO27	K_decline_1pct	Allele_038	500	0.000	0.000	0.000	NA
EO27	K_decline_1pct	Allele_042	500	0.000	0.000	0.000	NA
EO27	K_decline_1pct	Allele_043	500	0.000	0.000	0.000	NA
EO27	K_decline_1pct	Allele_044	500	0.000	0.000	0.000	NA
